NUTS Region;1 - CO;1 - NO;1 - NO2;1 - O3;1 - PM10;1 - SO2;2 - Euro per inhabitant;2 - Euro per inhabitant in percentage of the EU27 (from 2020) average;2 - Million euro;2 - Million purchasing power standards (PPS, EU27 from 2020);2 - Million units of national currency;2 - Purchasing power standard (PPS, EU27 from 2020), per inhabitant;2 - Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;3 - Acute myocardial infarction including subsequent myocardial infarction;3 - All causes of death (A00-Y89) excluding S00-T98;3 - Asthma and status asthmaticus;3 - Cerebrovascular diseases;3 - Chronic lower respiratory diseases;3 - Diabetes mellitus;3 - Malignant melanoma of skin;3 - Malignant neoplasm of breast;3 - Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal;3 - Malignant neoplasm of trachea, bronchus and lung;3 - Mental and behavioural disorders (F00-F99);3 - Other ischaemic heart diseases;3 - Other mental and behavioural disorders (remainder of F00-F99)
Algarve;;2.0136714840267644;7.511390823940449;58.00473893255696;13.632518086484817;;18423.07692307692;67.84615384615384;8051.043846153847;9720.97846153846;8051.043846153847;22246.153846153848;82.15384615384616;93.341;1902.7796666666663;2.631333333333333;176.89466666666667;37.64666666666667;58.67966666666667;5.073666666666667;27.421;64.25066666666666;68.66466666666666;56.23466666666666;35.68866666666667;1.1916666666666669
Alsace;0.2715559038360623;12.960634926930249;23.000584370480983;52.0162784192593;17.2628078962765;;30069.23076923077;111.6923076923077;56542.02076923077;50745.52692307692;56542.02076923077;26969.23076923077;100.07692307692308;38.306333333333335;1617.3146666666669;2.033;98.96033333333334;35.44666666666667;37.604;4.3566666666666665;30.501;46.99333333333333;80.43566666666668;77.749;69.187;10.229333333333331
Arnsberg;;24.55627740140084;31.221447418835098;47.5199134497421;18.64844508709889;;31484.615384615383;116.23076923076924;113107.25307692308;104032.78461538462;113107.25307692308;28953.846153846152;106.84615384615384;91.696;2032.4323333333332;2.2786666666666666;119.684;83.845;40.440333333333335;5.779333333333333;38.16966666666666;57.06666666666667;104.199;104.83066666666669;136.503;2.553333333333333
Berlin;0.3176729201077732;13.385495988450089;25.365312086720063;45.693973802546765;18.921961392152323;1.2073695757770406;36053.84615384616;132.6153846153846;126428.35615384617;116194.58461538462;126428.35615384617;33146.153846153844;122.0;112.71833333333332;1846.9693333333332;1.508;100.29933333333334;83.97633333333333;58.48733333333334;5.0023333333333335;35.778;47.267;101.383;75.95866666666666;130.07033333333334;3.258666666666667
Bratislavský kraj;0.3175925034250174;;19.042966475315087;54.65224083613988;20.55912542847054;2.517614968003552;33046.153846153844;119.3076923076923;21299.698461538464;29937.654615384618;21718.546153846157;46623.07692307692;171.15384615384616;92.05066666666669;2242.4793333333337;0.9266666666666666;167.631;27.215333333333334;28.100666666666665;9.637666666666666;45.10033333333333;84.08300000000001;82.11166666666666;25.29733333333333;599.052;0.6308333333333334
Braunschweig;0.3026709908462351;8.90353184286545;17.69348790217181;52.55280420570028;13.617500645638524;0.2985897494949674;41900.0;153.76923076923077;66811.22846153846;61436.47307692308;66811.22846153846;38538.46153846154;141.3846153846154;103.03866666666666;1948.2673333333332;2.0966666666666667;123.96633333333334;77.76766666666667;51.68833333333334;5.221666666666667;34.414;51.495;88.66433333333333;106.447;208.879;4.3053333333333335
Bremen;0.2440162043659355;8.845000324913803;20.409317635002367;46.45767224248777;16.114138197939695;1.13869741316493;44623.07692307692;165.30769230769232;29838.445384615385;27449.053076923075;29838.445384615385;41053.84615384616;152.30769230769232;106.14166666666668;1917.908;1.7446666666666666;111.43866666666666;76.15466666666666;31.81;8.798;38.952666666666666;45.999;107.32966666666668;87.84466666666667;116.092;7.0343333333333335
Budapest;0.53053819257507;;27.49452011726872;43.73263706157677;24.965;4.5696185591113005;23992.30769230769;87.15384615384616;41775.12;67705.5476923077;12998025.845384616;38876.92307692308;141.92307692307693;112.69533333333334;2280.049666666667;0.9386666666666666;195.68166666666667;110.18866666666666;39.40833333333333;5.746;43.854;86.55266666666667;137.02;63.36266666666666;507.218;1.968
Canarias;0.3779315238424636;3.895915046965297;12.851272849613098;61.61411113773499;28.36362598470145;4.323678290213723;19100.0;71.53846153846153;40166.76076923077;43074.377692307695;40166.76076923077;20500.0;76.61538461538461;85.43900000000001;1621.0886666666668;3.7876666666666665;86.53866666666666;65.54333333333334;91.70533333333331;3.843333333333333;25.06433333333333;53.336;78.40633333333334;74.11166666666666;74.096;1.7979999999999998
Chemnitz;;12.116325966326878;18.21297586647733;52.5148784622259;14.317913854339542;;25184.615384615383;92.46153846153848;37099.15384615384;34123.52384615385;37099.15384615384;23161.53846153846;85.0;119.87533333333332;1967.4203333333328;1.9176666666666664;163.512;51.678666666666665;60.81166666666666;5.266333333333334;27.023666666666667;57.396;63.894666666666666;85.55300000000001;266.95300000000003;2.8713333333333333
