NUTS Regions;NO2;O3;PM10;PM2.5
Wien;26.1;0;0;0
Vorarlberg;0;5234.549999999999;10.8;0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;30.5;0;18.8;10.600000000000001
Prov. Oost-Vlaanderen;16.516666666666666;3933.8333333333335;21.124999999999996;11.283333333333333
Prov. Vlaams-Brabant;20.200000000000003;4540.1;20.0;9.399999999999999
Prov. Luxembourg (BE);11.52;0;12.940000000000001;7.159999999999999
Prov. Namur;13.383333333333333;4260.966666666666;15.983333333333334;7.783333333333334
Severozapaden;14.49;3293.0400000000004;28.54666666666667;18.840000000000003
Severen tsentralen;16.31;2934.98;24.34;16.766666666666666
Severoiztochen;15.59166666666667;3824.0416666666665;24.212500000000002;16.5625
Yugozapaden;0;3541.96;29.939999999999998;20.490000000000002
Kypros;0;6239.950000000001;26.3;14.433333333333332
Praha;0;5248.1;21.133333333333333;18.0
Jihozápad;0;5367.85;20.1;12.275000000000002
Jihovýchod;11.75;5784.85;16.8;14.149999999999999
Karlsruhe;20.516666666666666;5940.833333333332;16.575;10.883333333333333
Berlin;20.25;5136.7;0;0
Brandenburg;12.511111111111113;5816.822222222221;16.188888888888886;11.661111111111113
Bremen;20.275000000000002;3630.3500000000004;18.2;11.925
Mecklenburg-Vorpommern;10.343749999999998;3885.4875000000006;16.01666666666667;10.470833333333333
Braunschweig;12.749999999999998;3781.87;12.66;8.4
Weser-Ems;12.652941176470588;0;0;12.270588235294118
Düsseldorf;24.90666666666667;4888.86;0;0
Arnsberg;19.11666666666667;4876.229166666667;16.149999999999995;9.3125
Rheinhessen-Pfalz;20.820000000000004;4782.959999999999;15.397499999999999;10.745
Chemnitz;13.040000000000001;5708.4800000000005;12.920000000000002;9.15
Eesti;6.539999999999999;0;0;0
Attiki;0;0;0;15.714285714285717
Voreio Aigaio;7.366666666666667;8758.9;25.01666666666667;16.3
Notio Aigaio;0;8889.6;31.85;13.65
Kriti;10.65;7193.924999999999;27.55;12.1
Kentriki Makedonia;16.8;5438.785714285715;26.742857142857144;17.614285714285714
Dytiki Makedonia;0;0;21.816666666666666;18.933333333333334
Ipeiros;0;0;22.400000000000002;14.4
Ionia Nisia;0;8500.949999999999;17.85;0
Dytiki Ellada;11.533333333333333;8012.833333333333;20.283333333333335;12.166666666666666
Sterea Ellada;12.1;8012.01;0;11.44
