code;city
FI2;Åland
FI20;Åland
LI;Liechtenstein
LI0;Liechtenstein
LI00;Liechtenstein
ES63;Ciudad de Ceuta
ES64;Ciudad de Melilla
ITC2;Valle d'Aosta/Vallée d'Aoste
EL41;Voreio Aigaio
EL62;Ionia Nisia
PT2;Região Autónoma dos Açores (PT)
PT20;Região Autónoma dos Açores (PT)
PT3;Região Autónoma da Madeira (PT)
PT30;Região Autónoma da Madeira (PT)
EL53;Dytiki Makedonia
ITF2;Molise
BE34;Prov. Luxembourg (BE)
AT11;Burgenland (AT)
FRY5;Mayotte
ES23;La Rioja
EL54;Ipeiros
EL42;Notio Aigaio
FRM;Corse
FRM0;Corse
CH07;Ticino
FRY2;Martinique
NL34;Zeeland
AT34;Vorarlberg
FRY1;Guadeloupe
BE31;Prov. Brabant wallon
NL23;Flevoland
PT15;Algarve
NL13;Drenthe
BE35;Prov. Namur
MT;Malta
MT0;Malta
MT00;Malta
ITH1;Provincia Autonoma di Bolzano/Bozen
DEB2;Trier
ITH2;Provincia Autonoma di Trento
AT32;Salzburg
AT21;Kärnten
ES13;Cantabria
NL11;Groningen
DK05;Nordjylland
EL43;Kriti
LU;Luxembourg
LU0;Luxembourg
LU00;Luxembourg
NL12;Friesland (NL)
DE5;Bremen
DE50;Bremen
SK01;Bratislavský kraj
HR05;Grad Zagreb
HR06;Sjeverna Hrvatska
LT01;Sostines regionas
CH06;Zentralschweiz
DK02;Sjælland
ITI2;Umbria
FRY4;La Réunion
BE22;Prov. Limburg (BE)
CY;Cyprus
CY0;Kypros
CY00;Kypros
PL52;Opolskie
DEC;Saarland
DEC0;Saarland
SI04;Zahodna Slovenija
DE72;Gießen
DED5;Leipzig
DE24;Oberfranken
CZ04;Severozápad
BE33;Prov. Liège
DE23;Oberpfalz
NL42;Limburg (NL)
NL21;Overijssel
BE24;Prov. Vlaams-Brabant
CZ08;Moravskoslezsko
CH03;Nordwestschweiz
ITH4;Friuli-Venezia Giulia
CZ07;Strední Morava
BE25;Prov. West-Vlaanderen
DE73;Kassel
ES53;Illes Balears
BE1;Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest
BE10;Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest
CZ01;Praha
DE26;Unterfranken
HU12;Pest
BE32;Prov. Hainaut
NL31;Utrecht
DED4;Chemnitz
ITI3;Marche
DEB1;Koblenz
ITC3;Liguria
BE23;Prov. Oost-Vlaanderen
CH04;Zürich
DED2;Dresden
DE91;Braunschweig
CH01;Région lémanique
HU11;Budapest
FI1B;Helsinki-Uusimaa
NL1;Noord-Nederland
DE25;Mittelfranken
DE6;Hamburg
DE60;Hamburg
DK01;Hovedstaden
DE14;Tübingen
BE21;Prov. Antwerpen
DE27;Schwaben
FRF1;Alsace
AT13;Wien
DEA4;Detmold
DEB3;Rheinhessen-Pfalz
NL22;Gelderland
DE92;Hannover
ES21;País Vasco
ES7;Canarias
ES70;Canarias
RO32;Bucuresti - Ilfov
DE13;Freiburg
SE11;Stockholm
NL41;Noord-Brabant
DEA3;Münster
DE12;Karlsruhe
PT17;Área Metropolitana de Lisboa
NL32;Noord-Holland
HU1;Közép-Magyarország
PL91;Warszawski stoleczny
DEA5;Arnsberg
DE3;Berlin
DE30;Berlin
NL4;Zuid-Nederland
NL33;Zuid-Holland
EL3;Attiki
EL30;Attiki
DE71;Darmstadt
DEA2;Köln
