DATAFLOW,LAST UPDATE,freq,landuse,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AL,2022,28106,e
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AL0,2022,28106,e
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AL01,2022,10509,e
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AL011,2022,1638,e
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AL012,2022,3315,e
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AL013,2022,2455,e
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AL014,2022,2339,e
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AL015,2022,762,e
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AL02,2022,4934,e
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AL021,2022,3293,e
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AL022,2022,1641,e
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AL03,2022,12663,e
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AL031,2022,1809,e
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AL032,2022,2863,e
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AL033,2022,2629,e
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AL034,2022,1787,e
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AL035,2022,3575,e
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT,2022,82519,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT1,2022,23083,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT11,2022,3780,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT111,2022,694,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT112,2022,1635,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT113,2022,1451,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT12,2022,18907,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT121,2022,3301,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT122,2022,3348,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT123,2022,1214,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT124,2022,4553,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT125,2022,2390,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT126,2022,2658,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT127,2022,1443,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT13,2022,396,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT130,2022,396,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT2,2022,25619,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT21,2022,9367,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT211,2022,1958,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT212,2022,4067,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT213,2022,3342,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT22,2022,16252,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT221,2022,1200,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT222,2022,3287,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT223,2022,3190,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT224,2022,3296,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT225,2022,2237,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT226,2022,3042,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT3,2022,33817,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT31,2022,11717,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT311,2022,2783,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT312,2022,1700,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT313,2022,2630,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT314,2022,2214,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT315,2022,2390,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT32,2022,7057,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT321,2022,1013,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT322,2022,4357,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT323,2022,1687,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT33,2022,12511,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT331,2022,1214,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT332,2022,2079,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT333,2022,2007,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT334,2022,3287,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT335,2022,3924,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT34,2022,2532,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT341,2022,1854,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,AT342,2022,678,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE,2022,30452,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE1,2022,162,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE10,2022,162,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE100,2022,162,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE2,2022,13429,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE21,2022,2804,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE211,2022,960,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE212,2022,499,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE213,2022,1345,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE22,2022,2391,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE221,2022,,z
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE222,2022,,z
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE223,2022,628,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE224,2022,868,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE225,2022,895,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE23,2022,2970,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE231,2022,473,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE232,2022,339,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE233,2022,334,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE234,2022,940,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE235,2022,423,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE236,2022,461,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE24,2022,2114,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE241,2022,947,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE242,2022,1167,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE25,2022,3150,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE251,2022,652,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE252,2022,364,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE253,2022,553,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE254,2022,406,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE255,2022,292,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE256,2022,274,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE257,2022,332,
