city_name;city_code;value;measurement_date;name;unit
Burgenland (AT);AT11;2;2008;Intentional homicide;1
Burgenland (AT);AT11;0;2009;Intentional homicide;1
Burgenland (AT);AT11;5;2010;Intentional homicide;1
Burgenland (AT);AT11;22;2008;Robbery;1
Burgenland (AT);AT11;28;2009;Robbery;1
Burgenland (AT);AT11;19;2010;Robbery;1
Burgenland (AT);AT11;241;2008;Burglary of private residential premises;1
Burgenland (AT);AT11;334;2009;Burglary of private residential premises;1
Burgenland (AT);AT11;223;2010;Burglary of private residential premises;1
Burgenland (AT);AT11;137;2008;Theft of a motorized land vehicle;1
Burgenland (AT);AT11;136;2009;Theft of a motorized land vehicle;1
Burgenland (AT);AT11;75;2010;Theft of a motorized land vehicle;1
Wien;AT13;15;2008;Intentional homicide;1
Wien;AT13;19;2009;Intentional homicide;1
Wien;AT13;17;2010;Intentional homicide;1
Wien;AT13;3616;2008;Robbery;1
Wien;AT13;3330;2009;Robbery;1
Wien;AT13;3123;2010;Robbery;1
Wien;AT13;10269;2008;Burglary of private residential premises;1
Wien;AT13;11848;2009;Burglary of private residential premises;1
Wien;AT13;9319;2010;Burglary of private residential premises;1
Wien;AT13;3821;2008;Theft of a motorized land vehicle;1
Wien;AT13;4440;2009;Theft of a motorized land vehicle;1
Wien;AT13;2937;2010;Theft of a motorized land vehicle;1
Kärnten;AT21;1;2008;Intentional homicide;1
Kärnten;AT21;4;2009;Intentional homicide;1
Kärnten;AT21;3;2010;Intentional homicide;1
Kärnten;AT21;108;2008;Robbery;1
Kärnten;AT21;90;2009;Robbery;1
Kärnten;AT21;90;2010;Robbery;1
Kärnten;AT21;462;2008;Burglary of private residential premises;1
Kärnten;AT21;544;2009;Burglary of private residential premises;1
Kärnten;AT21;507;2010;Burglary of private residential premises;1
Kärnten;AT21;358;2008;Theft of a motorized land vehicle;1
Kärnten;AT21;323;2009;Theft of a motorized land vehicle;1
Kärnten;AT21;180;2010;Theft of a motorized land vehicle;1
Salzburg;AT32;3;2008;Intentional homicide;1
Salzburg;AT32;5;2009;Intentional homicide;1
Salzburg;AT32;4;2010;Intentional homicide;1
Salzburg;AT32;146;2008;Robbery;1
Salzburg;AT32;145;2009;Robbery;1
Salzburg;AT32;120;2010;Robbery;1
Salzburg;AT32;568;2008;Burglary of private residential premises;1
Salzburg;AT32;660;2009;Burglary of private residential premises;1
Salzburg;AT32;438;2010;Burglary of private residential premises;1
Salzburg;AT32;400;2008;Theft of a motorized land vehicle;1
Salzburg;AT32;356;2009;Theft of a motorized land vehicle;1
Salzburg;AT32;158;2010;Theft of a motorized land vehicle;1
Vorarlberg;AT34;2;2008;Intentional homicide;1
Vorarlberg;AT34;2;2009;Intentional homicide;1
Vorarlberg;AT34;0;2010;Intentional homicide;1
Vorarlberg;AT34;44;2008;Robbery;1
Vorarlberg;AT34;74;2009;Robbery;1
Vorarlberg;AT34;70;2010;Robbery;1
Vorarlberg;AT34;344;2008;Burglary of private residential premises;1
Vorarlberg;AT34;277;2009;Burglary of private residential premises;1
Vorarlberg;AT34;191;2010;Burglary of private residential premises;1
Vorarlberg;AT34;189;2008;Theft of a motorized land vehicle;1
Vorarlberg;AT34;149;2009;Theft of a motorized land vehicle;1
Vorarlberg;AT34;70;2010;Theft of a motorized land vehicle;1
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE1;44;2008;Intentional homicide;1
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE1;33;2009;Intentional homicide;1
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE1;30;2010;Intentional homicide;1
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE1;8701;2008;Robbery;1
