city_name;city_code;value;measurement_date;unit;name
Burgenland (AT);AT11;17400.0;2000;Euro per inhabitant;GDP
Burgenland (AT);AT11;20500.0;2005;Euro per inhabitant;GDP
Burgenland (AT);AT11;23600.0;2010;Euro per inhabitant;GDP
Burgenland (AT);AT11;25700.0;2012;Euro per inhabitant;GDP
Burgenland (AT);AT11;26300.0;2013;Euro per inhabitant;GDP
Burgenland (AT);AT11;26900.0;2014;Euro per inhabitant;GDP
Burgenland (AT);AT11;27800.0;2015;Euro per inhabitant;GDP
Burgenland (AT);AT11;28600.0;2016;Euro per inhabitant;GDP
Burgenland (AT);AT11;29800.0;2017;Euro per inhabitant;GDP
Burgenland (AT);AT11;30600.0;2018;Euro per inhabitant;GDP
Burgenland (AT);AT11;31400.0;2019;Euro per inhabitant;GDP
Burgenland (AT);AT11;30400.0;2020;Euro per inhabitant;GDP
Burgenland (AT);AT11;32000.0;2021;Euro per inhabitant;GDP
Burgenland (AT);AT11;95.0;2000;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Burgenland (AT);AT11;93.0;2005;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Burgenland (AT);AT11;95.0;2010;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Burgenland (AT);AT11;100.0;2012;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Burgenland (AT);AT11;101.0;2013;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Burgenland (AT);AT11;101.0;2014;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Burgenland (AT);AT11;101.0;2015;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Burgenland (AT);AT11;102.0;2016;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Burgenland (AT);AT11;102.0;2017;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Burgenland (AT);AT11;101.0;2018;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Burgenland (AT);AT11;100.0;2019;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Burgenland (AT);AT11;101.0;2020;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Burgenland (AT);AT11;99.0;2021;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Burgenland (AT);AT11;4797.11;2000;Million euro;GDP
Burgenland (AT);AT11;5720.65;2005;Million euro;GDP
Burgenland (AT);AT11;6698.37;2010;Million euro;GDP
Burgenland (AT);AT11;7365.43;2012;Million euro;GDP
Burgenland (AT);AT11;7539.32;2013;Million euro;GDP
Burgenland (AT);AT11;7737.13;2014;Million euro;GDP
Burgenland (AT);AT11;8040.55;2015;Million euro;GDP
Burgenland (AT);AT11;8351.77;2016;Million euro;GDP
Burgenland (AT);AT11;8717.79;2017;Million euro;GDP
Burgenland (AT);AT11;8960.75;2018;Million euro;GDP
Burgenland (AT);AT11;9228.33;2019;Million euro;GDP
Burgenland (AT);AT11;8958.0;2020;Million euro;GDP
Burgenland (AT);AT11;9498.09;2021;Million euro;GDP
Burgenland (AT);AT11;4797.11;2000;Million units of national currency;GDP
Burgenland (AT);AT11;5720.65;2005;Million units of national currency;GDP
Burgenland (AT);AT11;6698.37;2010;Million units of national currency;GDP
Burgenland (AT);AT11;7365.43;2012;Million units of national currency;GDP
Burgenland (AT);AT11;7539.32;2013;Million units of national currency;GDP
Burgenland (AT);AT11;7737.13;2014;Million units of national currency;GDP
Burgenland (AT);AT11;8040.55;2015;Million units of national currency;GDP
Burgenland (AT);AT11;8351.77;2016;Million units of national currency;GDP
Burgenland (AT);AT11;8717.79;2017;Million units of national currency;GDP
Burgenland (AT);AT11;8960.75;2018;Million units of national currency;GDP
Burgenland (AT);AT11;9228.33;2019;Million units of national currency;GDP
Burgenland (AT);AT11;8958.0;2020;Million units of national currency;GDP
Burgenland (AT);AT11;9498.09;2021;Million units of national currency;GDP
Burgenland (AT);AT11;4390.27;2000;Million purchasing power standards (PPS, EU27 from 2020);GDP
Burgenland (AT);AT11;5311.45;2005;Million purchasing power standards (PPS, EU27 from 2020);GDP
Burgenland (AT);AT11;6018.79;2010;Million purchasing power standards (PPS, EU27 from 2020);GDP
Burgenland (AT);AT11;6683.93;2012;Million purchasing power standards (PPS, EU27 from 2020);GDP
Burgenland (AT);AT11;6825.63;2013;Million purchasing power standards (PPS, EU27 from 2020);GDP
Burgenland (AT);AT11;6941.06;2014;Million purchasing power standards (PPS, EU27 from 2020);GDP
Burgenland (AT);AT11;7235.85;2015;Million purchasing power standards (PPS, EU27 from 2020);GDP
Burgenland (AT);AT11;7466.47;2016;Million purchasing power standards (PPS, EU27 from 2020);GDP
Burgenland (AT);AT11;7725.73;2017;Million purchasing power standards (PPS, EU27 from 2020);GDP
Burgenland (AT);AT11;7938.37;2018;Million purchasing power standards (PPS, EU27 from 2020);GDP
Burgenland (AT);AT11;8127.61;2019;Million purchasing power standards (PPS, EU27 from 2020);GDP
Burgenland (AT);AT11;7862.51;2020;Million purchasing power standards (PPS, EU27 from 2020);GDP
Burgenland (AT);AT11;8325.96;2021;Million purchasing power standards (PPS, EU27 from 2020);GDP
Burgenland (AT);AT11;15900.0;2000;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Burgenland (AT);AT11;19100.0;2005;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Burgenland (AT);AT11;21200.0;2010;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Burgenland (AT);AT11;23400.0;2012;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Burgenland (AT);AT11;23800.0;2013;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Burgenland (AT);AT11;24100.0;2014;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Burgenland (AT);AT11;25000.0;2015;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Burgenland (AT);AT11;25600.0;2016;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Burgenland (AT);AT11;26400.0;2017;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Burgenland (AT);AT11;27100.0;2018;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Burgenland (AT);AT11;27700.0;2019;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Burgenland (AT);AT11;26600.0;2020;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Burgenland (AT);AT11;28100.0;2021;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;GDP
Burgenland (AT);AT11;87.0;2000;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Burgenland (AT);AT11;87.0;2005;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Burgenland (AT);AT11;85.0;2010;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Burgenland (AT);AT11;91.0;2012;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Burgenland (AT);AT11;91.0;2013;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Burgenland (AT);AT11;91.0;2014;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Burgenland (AT);AT11;91.0;2015;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Burgenland (AT);AT11;91.0;2016;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Burgenland (AT);AT11;90.0;2017;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Burgenland (AT);AT11;89.0;2018;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Burgenland (AT);AT11;88.0;2019;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Burgenland (AT);AT11;89.0;2020;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Burgenland (AT);AT11;87.0;2021;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average;GDP
Wien;AT13;37200.0;2000;Euro per inhabitant;GDP
Wien;AT13;41000.0;2005;Euro per inhabitant;GDP
Wien;AT13;46100.0;2010;Euro per inhabitant;GDP
Wien;AT13;47500.0;2012;Euro per inhabitant;GDP
Wien;AT13;47400.0;2013;Euro per inhabitant;GDP
Wien;AT13;47600.0;2014;Euro per inhabitant;GDP
Wien;AT13;48100.0;2015;Euro per inhabitant;GDP
Wien;AT13;49600.0;2016;Euro per inhabitant;GDP
Wien;AT13;49500.0;2017;Euro per inhabitant;GDP
Wien;AT13;51300.0;2018;Euro per inhabitant;GDP
Wien;AT13;52400.0;2019;Euro per inhabitant;GDP
Wien;AT13;49800.0;2020;Euro per inhabitant;GDP
Wien;AT13;53000.0;2021;Euro per inhabitant;GDP
Wien;AT13;202.0;2000;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Wien;AT13;186.0;2005;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Wien;AT13;185.0;2010;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Wien;AT13;184.0;2012;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Wien;AT13;182.0;2013;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Wien;AT13;179.0;2014;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Wien;AT13;175.0;2015;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Wien;AT13;176.0;2016;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Wien;AT13;169.0;2017;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Wien;AT13;170.0;2018;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Wien;AT13;167.0;2019;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Wien;AT13;166.0;2020;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Wien;AT13;163.0;2021;Euro per inhabitant in percentage of the EU27 (from 2020) average;GDP
Wien;AT13;57659.47;2000;Million euro;GDP
Wien;AT13;67364.38;2005;Million euro;GDP
Wien;AT13;78130.05;2010;Million euro;GDP
Wien;AT13;81981.66;2012;Million euro;GDP
Wien;AT13;83117.69;2013;Million euro;GDP
Wien;AT13;84749.78;2014;Million euro;GDP
Wien;AT13;87284.43;2015;Million euro;GDP
Wien;AT13;91942.34;2016;Million euro;GDP
Wien;AT13;92880.64;2017;Million euro;GDP
Wien;AT13;97152.54;2018;Million euro;GDP
Wien;AT13;99673.11;2019;Million euro;GDP
Wien;AT13;95384.86;2020;Million euro;GDP
Wien;AT13;101960.55;2021;Million euro;GDP
Wien;AT13;57659.47;2000;Million units of national currency;GDP
Wien;AT13;67364.38;2005;Million units of national currency;GDP
Wien;AT13;78130.05;2010;Million units of national currency;GDP
Wien;AT13;81981.66;2012;Million units of national currency;GDP
Wien;AT13;83117.69;2013;Million units of national currency;GDP
Wien;AT13;84749.78;2014;Million units of national currency;GDP
Wien;AT13;87284.43;2015;Million units of national currency;GDP
Wien;AT13;91942.34;2016;Million units of national currency;GDP
Wien;AT13;92880.64;2017;Million units of national currency;GDP
Wien;AT13;97152.54;2018;Million units of national currency;GDP
Wien;AT13;99673.11;2019;Million units of national currency;GDP
