city_name;city_code;housing_structure;tenure;year;value;unit
Burgenland (AT);AT11;Household composed of couple in consensual union;Other;2011;474.0;Number
Burgenland (AT);AT11;Household composed of couple in consensual union;Owner;2011;5239.0;Number
Burgenland (AT);AT11;Household composed of couple in consensual union;Tenant;2011;2336.0;Number
Burgenland (AT);AT11;Household composed of couple in consensual union;Total;2011;8069.0;Number
Burgenland (AT);AT11;Household composed of couple in consensual union;Unknown;2011;20.0;Number
Burgenland (AT);AT11;Household composed of couple in consensual union without resident children;Other;2011;230.0;Number
Burgenland (AT);AT11;Household composed of couple in consensual union without resident children;Owner;2011;2460.0;Number
Burgenland (AT);AT11;Household composed of couple in consensual union without resident children;Tenant;2011;1319.0;Number
Burgenland (AT);AT11;Household composed of couple in consensual union without resident children;Total;2011;4019.0;Number
Burgenland (AT);AT11;Household composed of couple in consensual union without resident children;Unknown;2011;10.0;Number
Burgenland (AT);AT11;Household composed of couple in consensual union with youngest resident child 25 years or older;Other;2011;22.0;Number
Burgenland (AT);AT11;Household composed of couple in consensual union with youngest resident child 25 years or older;Owner;2011;202.0;Number
Burgenland (AT);AT11;Household composed of couple in consensual union with youngest resident child 25 years or older;Tenant;2011;22.0;Number
Burgenland (AT);AT11;Household composed of couple in consensual union with youngest resident child 25 years or older;Total;2011;248.0;Number
Burgenland (AT);AT11;Household composed of couple in consensual union with youngest resident child 25 years or older;Unknown;2011;2.0;Number
Burgenland (AT);AT11;Household composed of couple in consensual union with at least one resident child under 25 years;Other;2011;222.0;Number
Burgenland (AT);AT11;Household composed of couple in consensual union with at least one resident child under 25 years;Owner;2011;2577.0;Number
Burgenland (AT);AT11;Household composed of couple in consensual union with at least one resident child under 25 years;Tenant;2011;995.0;Number
Burgenland (AT);AT11;Household composed of couple in consensual union with at least one resident child under 25 years;Total;2011;3802.0;Number
Burgenland (AT);AT11;Household composed of couple in consensual union with at least one resident child under 25 years;Unknown;2011;8.0;Number
Burgenland (AT);AT11;Household composed of lone mother living with at least one child;Other;2011;672.0;Number
Burgenland (AT);AT11;Household composed of lone mother living with at least one child;Owner;2011;6649.0;Number
Burgenland (AT);AT11;Household composed of lone mother living with at least one child;Tenant;2011;2317.0;Number
Burgenland (AT);AT11;Household composed of lone mother living with at least one child;Total;2011;9666.0;Number
Burgenland (AT);AT11;Household composed of lone mother living with at least one child;Unknown;2011;28.0;Number
Burgenland (AT);AT11;Household composed of lone mother with at least one resident child 25 years or older;Other;2011;273.0;Number
Burgenland (AT);AT11;Household composed of lone mother with at least one resident child 25 years or older;Owner;2011;3692.0;Number
Burgenland (AT);AT11;Household composed of lone mother with at least one resident child 25 years or older;Tenant;2011;295.0;Number
Burgenland (AT);AT11;Household composed of lone mother with at least one resident child 25 years or older;Total;2011;4264.0;Number
Burgenland (AT);AT11;Household composed of lone mother with at least one resident child 25 years or older;Unknown;2011;4.0;Number
Burgenland (AT);AT11;Household composed of lone mother with at least one resident child under 25 years;Other;2011;399.0;Number
Burgenland (AT);AT11;Household composed of lone mother with at least one resident child under 25 years;Owner;2011;2957.0;Number
Burgenland (AT);AT11;Household composed of lone mother with at least one resident child under 25 years;Tenant;2011;2022.0;Number
Burgenland (AT);AT11;Household composed of lone mother with at least one resident child under 25 years;Total;2011;5402.0;Number
Burgenland (AT);AT11;Household composed of lone mother with at least one resident child under 25 years;Unknown;2011;24.0;Number
Burgenland (AT);AT11;Household composed of one-family nucleus;Other;2011;4509.0;Number
Burgenland (AT);AT11;Household composed of one-family nucleus;Owner;2011;62926.0;Number
Burgenland (AT);AT11;Household composed of one-family nucleus;Tenant;2011;10127.0;Number
Burgenland (AT);AT11;Household composed of one-family nucleus;Total;2011;77677.0;Number
Burgenland (AT);AT11;Household composed of one-family nucleus;Unknown;2011;115.0;Number
Burgenland (AT);AT11;Household composed of two-or-more-family nucleus;Other;2011;172.0;Number
Burgenland (AT);AT11;Household composed of two-or-more-family nucleus;Owner;2011;2425.0;Number
Burgenland (AT);AT11;Household composed of two-or-more-family nucleus;Tenant;2011;142.0;Number
Burgenland (AT);AT11;Household composed of two-or-more-family nucleus;Total;2011;2741.0;Number
Burgenland (AT);AT11;Household composed of two-or-more-family nucleus;Unknown;2011;2.0;Number
Burgenland (AT);AT11;Household composed of lone father living with at least one child;Other;2011;112.0;Number
Burgenland (AT);AT11;Household composed of lone father living with at least one child;Owner;2011;1510.0;Number
Burgenland (AT);AT11;Household composed of lone father living with at least one child;Tenant;2011;221.0;Number
Burgenland (AT);AT11;Household composed of lone father living with at least one child;Total;2011;1848.0;Number
Burgenland (AT);AT11;Household composed of lone father living with at least one child;Unknown;2011;5.0;Number
Burgenland (AT);AT11;Household composed of lone father with at least one resident child 25 years or older;Other;2011;48.0;Number
Burgenland (AT);AT11;Household composed of lone father with at least one resident child 25 years or older;Owner;2011;664.0;Number
Burgenland (AT);AT11;Household composed of lone father with at least one resident child 25 years or older;Tenant;2011;67.0;Number
Burgenland (AT);AT11;Household composed of lone father with at least one resident child 25 years or older;Total;2011;781.0;Number
Burgenland (AT);AT11;Household composed of lone father with at least one resident child 25 years or older;Unknown;2011;2.0;Number
Burgenland (AT);AT11;Household composed of lone father with at least one resident child under 25 years;Other;2011;64.0;Number
Burgenland (AT);AT11;Household composed of lone father with at least one resident child under 25 years;Owner;2011;846.0;Number
Burgenland (AT);AT11;Household composed of lone father with at least one resident child under 25 years;Tenant;2011;154.0;Number
Burgenland (AT);AT11;Household composed of lone father with at least one resident child under 25 years;Total;2011;1067.0;Number
Burgenland (AT);AT11;Household composed of lone father with at least one resident child under 25 years;Unknown;2011;3.0;Number
Burgenland (AT);AT11;Household composed of married couple;Other;2011;3251.0;Number
