city_name;city_code;age;sex;measurement_date;value;unit
Burgenland (AT);AT11;Less than 5 years old;Females;2004;5644;Number
Burgenland (AT);AT11;Less than 5 years old;Males;2004;5891;Number
Burgenland (AT);AT11;Less than 5 years old;Total;2004;11535;Number
Burgenland (AT);AT11;Less than 5 years old;Females;2010;5699;Number
Burgenland (AT);AT11;Less than 5 years old;Males;2010;5851;Number
Burgenland (AT);AT11;Less than 5 years old;Total;2010;11550;Number
Burgenland (AT);AT11;Less than 5 years old;Females;2016;5848;Number
Burgenland (AT);AT11;Less than 5 years old;Males;2016;6147;Number
Burgenland (AT);AT11;Less than 5 years old;Total;2016;11995;Number
Burgenland (AT);AT11;Less than 5 years old;Females;2022;5932;Number
Burgenland (AT);AT11;Less than 5 years old;Males;2022;6109;Number
Burgenland (AT);AT11;Less than 5 years old;Total;2022;12041;Number
Wien;AT13;Less than 5 years old;Females;2004;38301;Number
Wien;AT13;Less than 5 years old;Males;2004;40083;Number
Wien;AT13;Less than 5 years old;Total;2004;78384;Number
Wien;AT13;Less than 5 years old;Females;2010;40934;Number
Wien;AT13;Less than 5 years old;Males;2010;43362;Number
Wien;AT13;Less than 5 years old;Total;2010;84296;Number
Wien;AT13;Less than 5 years old;Females;2016;45535;Number
Wien;AT13;Less than 5 years old;Males;2016;49135;Number
Wien;AT13;Less than 5 years old;Total;2016;94670;Number
Wien;AT13;Less than 5 years old;Females;2022;46706;Number
Wien;AT13;Less than 5 years old;Males;2022;49510;Number
Wien;AT13;Less than 5 years old;Total;2022;96216;Number
Kärnten;AT21;Less than 5 years old;Females;2004;12378;Number
Kärnten;AT21;Less than 5 years old;Males;2004;12968;Number
Kärnten;AT21;Less than 5 years old;Total;2004;25346;Number
Kärnten;AT21;Less than 5 years old;Females;2010;11748;Number
Kärnten;AT21;Less than 5 years old;Males;2010;12402;Number
Kärnten;AT21;Less than 5 years old;Total;2010;24150;Number
Kärnten;AT21;Less than 5 years old;Females;2016;11578;Number
Kärnten;AT21;Less than 5 years old;Males;2016;12289;Number
Kärnten;AT21;Less than 5 years old;Total;2016;23867;Number
Kärnten;AT21;Less than 5 years old;Females;2022;11548;Number
Kärnten;AT21;Less than 5 years old;Males;2022;12196;Number
Kärnten;AT21;Less than 5 years old;Total;2022;23744;Number
Salzburg;AT32;Less than 5 years old;Females;2004;13013;Number
Salzburg;AT32;Less than 5 years old;Males;2004;13977;Number
Salzburg;AT32;Less than 5 years old;Total;2004;26990;Number
Salzburg;AT32;Less than 5 years old;Females;2010;12405;Number
Salzburg;AT32;Less than 5 years old;Males;2010;13011;Number
Salzburg;AT32;Less than 5 years old;Total;2010;25416;Number
Salzburg;AT32;Less than 5 years old;Females;2016;12920;Number
Salzburg;AT32;Less than 5 years old;Males;2016;13790;Number
Salzburg;AT32;Less than 5 years old;Total;2016;26710;Number
Salzburg;AT32;Less than 5 years old;Females;2022;13748;Number
Salzburg;AT32;Less than 5 years old;Males;2022;14628;Number
Salzburg;AT32;Less than 5 years old;Total;2022;28376;Number
Vorarlberg;AT34;Less than 5 years old;Females;2004;9912;Number
Vorarlberg;AT34;Less than 5 years old;Males;2004;10333;Number
Vorarlberg;AT34;Less than 5 years old;Total;2004;20245;Number
Vorarlberg;AT34;Less than 5 years old;Females;2010;9616;Number
Vorarlberg;AT34;Less than 5 years old;Males;2010;10050;Number
Vorarlberg;AT34;Less than 5 years old;Total;2010;19666;Number
Vorarlberg;AT34;Less than 5 years old;Females;2016;9893;Number
Vorarlberg;AT34;Less than 5 years old;Males;2016;10455;Number
Vorarlberg;AT34;Less than 5 years old;Total;2016;20348;Number
Vorarlberg;AT34;Less than 5 years old;Females;2022;10523;Number
Vorarlberg;AT34;Less than 5 years old;Males;2022;11171;Number
Vorarlberg;AT34;Less than 5 years old;Total;2022;21694;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE1;Less than 5 years old;Females;2004;33206;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE1;Less than 5 years old;Males;2004;34345;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE1;Less than 5 years old;Total;2004;67551;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE1;Less than 5 years old;Females;2010;39878;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE1;Less than 5 years old;Males;2010;41685;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE1;Less than 5 years old;Total;2010;81563;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE1;Less than 5 years old;Females;2016;43485;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE1;Less than 5 years old;Males;2016;45500;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE1;Less than 5 years old;Total;2016;88985;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE1;Less than 5 years old;Females;2022;38076;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE1;Less than 5 years old;Males;2022;39980;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE1;Less than 5 years old;Total;2022;78056;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE10;Less than 5 years old;Females;2004;33206;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE10;Less than 5 years old;Males;2004;34345;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE10;Less than 5 years old;Total;2004;67551;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE10;Less than 5 years old;Females;2010;39878;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE10;Less than 5 years old;Males;2010;41685;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE10;Less than 5 years old;Total;2010;81563;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE10;Less than 5 years old;Females;2016;43485;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE10;Less than 5 years old;Males;2016;45500;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE10;Less than 5 years old;Total;2016;88985;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE10;Less than 5 years old;Females;2022;38076;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE10;Less than 5 years old;Males;2022;39980;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE10;Less than 5 years old;Total;2022;78056;Number
Prov. Antwerpen;BE21;Less than 5 years old;Females;2004;42770;Number
Prov. Antwerpen;BE21;Less than 5 years old;Males;2004;45076;Number
