city_name;city_code;Indicator;unit;year;value
Burgenland (AT);AT11;Age dependency ratio, 1st variant (population 0 to 14 years and 65 years or over to population 15 to 64 years);Percentage;2016;51.7
Burgenland (AT);AT11;Age dependency ratio, 1st variant (population 0 to 14 years and 65 years or over to population 15 to 64 years);Percentage;2020;54.7
Burgenland (AT);AT11;Age dependency ratio, 2nd variant (population 0 to 19 years and 60 years or over to population 20 to 59 years);Percentage;2016;84.4
Burgenland (AT);AT11;Age dependency ratio, 2nd variant (population 0 to 19 years and 60 years or over to population 20 to 59 years);Percentage;2020;91.2
Burgenland (AT);AT11;Age dependency ratio, 3rd variant (population 0 to 19 years and 65 years or over to population 20 to 64 years);Percentage;2016;63.9
Burgenland (AT);AT11;Age dependency ratio, 3rd variant (population 0 to 19 years and 65 years or over to population 20 to 64 years);Percentage;2020;66.7
Burgenland (AT);AT11;Median age of population - females;Year;2016;47.3
Burgenland (AT);AT11;Median age of population - females;Year;2020;48.7
Burgenland (AT);AT11;Median age of population;Year;2016;46.3
Burgenland (AT);AT11;Median age of population;Year;2020;47.8
Burgenland (AT);AT11;Median age of population - males;Year;2016;45.3
Burgenland (AT);AT11;Median age of population - males;Year;2020;46.8
Burgenland (AT);AT11;Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years);Percentage;2016;31.6
Burgenland (AT);AT11;Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years);Percentage;2020;34.4
Burgenland (AT);AT11;Old-age dependency ratio 2nd variant (population 60 years or over to population 20 to 59 years);Percentage;2016;51.0
Burgenland (AT);AT11;Old-age dependency ratio 2nd variant (population 60 years or over to population 20 to 59 years);Percentage;2020;57.2
Burgenland (AT);AT11;Old-age dependency ratio 3rd variant (population 65 years or over to population 20 to 64 years);Percentage;2016;34.2
Burgenland (AT);AT11;Old-age dependency ratio 3rd variant (population 65 years or over to population 20 to 64 years);Percentage;2020;37.1
Burgenland (AT);AT11;Women per 100 men;Percentage;2016;103.6
Burgenland (AT);AT11;Women per 100 men;Percentage;2020;104.0
Burgenland (AT);AT11;Proportion of population aged 0-14 years;Percentage;2016;13.2
Burgenland (AT);AT11;Proportion of population aged 0-14 years;Percentage;2020;13.1
Burgenland (AT);AT11;Proportion of population aged 0-19 years;Percentage;2016;18.1
Burgenland (AT);AT11;Proportion of population aged 0-19 years;Percentage;2020;17.8
Burgenland (AT);AT11;Proportion of population aged 0-4 years;Percentage;2016;4.1
Burgenland (AT);AT11;Proportion of population aged 0-4 years;Percentage;2020;4.1
Burgenland (AT);AT11;Proportion of population aged 10-14 years;Percentage;2016;4.6
Burgenland (AT);AT11;Proportion of population aged 10-14 years;Percentage;2020;4.6
Burgenland (AT);AT11;Proportion of population aged 15-19 years;Percentage;2016;4.9
Burgenland (AT);AT11;Proportion of population aged 15-19 years;Percentage;2020;4.6
Burgenland (AT);AT11;Proportion of population aged 15-24 years;Percentage;2016;10.1
Burgenland (AT);AT11;Proportion of population aged 15-24 years;Percentage;2020;9.3
Burgenland (AT);AT11;Proportion of population aged 20-24 years;Percentage;2016;5.2
Burgenland (AT);AT11;Proportion of population aged 20-24 years;Percentage;2020;4.7
Burgenland (AT);AT11;Proportion of population aged 20-39 years;Percentage;2016;22.6
Burgenland (AT);AT11;Proportion of population aged 20-39 years;Percentage;2020;21.6
Burgenland (AT);AT11;Proportion of population aged 25-29 years;Percentage;2016;5.3
Burgenland (AT);AT11;Proportion of population aged 25-29 years;Percentage;2020;5.1
Burgenland (AT);AT11;Proportion of population aged 25-44 years;Percentage;2016;24.6
Burgenland (AT);AT11;Proportion of population aged 25-44 years;Percentage;2020;23.5
Burgenland (AT);AT11;Proportion of population aged 25-49 years;Percentage;2016;32.6
Burgenland (AT);AT11;Proportion of population aged 25-49 years;Percentage;2020;30.9
Burgenland (AT);AT11;Proportion of population aged 30-34 years;Percentage;2016;5.9
Burgenland (AT);AT11;Proportion of population aged 30-34 years;Percentage;2020;5.5
Burgenland (AT);AT11;Proportion of population aged 35-39 years;Percentage;2016;6.2
Burgenland (AT);AT11;Proportion of population aged 35-39 years;Percentage;2020;6.3
Burgenland (AT);AT11;Proportion of population aged 40-44 years;Percentage;2016;7.2
Burgenland (AT);AT11;Proportion of population aged 40-44 years;Percentage;2020;6.5
Burgenland (AT);AT11;Proportion of population aged 40-59 years;Percentage;2016;31.6
Burgenland (AT);AT11;Proportion of population aged 40-59 years;Percentage;2020;30.7
Burgenland (AT);AT11;Proportion of population aged 45-49 years;Percentage;2016;8.1
Burgenland (AT);AT11;Proportion of population aged 45-49 years;Percentage;2020;7.5
Burgenland (AT);AT11;Proportion of population aged 45-64 years;Percentage;2016;31.2
Burgenland (AT);AT11;Proportion of population aged 45-64 years;Percentage;2020;31.9
Burgenland (AT);AT11;Proportion of population aged 50-54 years;Percentage;2016;8.5
Burgenland (AT);AT11;Proportion of population aged 50-54 years;Percentage;2020;8.2
Burgenland (AT);AT11;Proportion of population aged 50-64 years;Percentage;2016;23.2
Burgenland (AT);AT11;Proportion of population aged 50-64 years;Percentage;2020;24.4
Burgenland (AT);AT11;Proportion of population aged 55-59 years;Percentage;2016;7.9
Burgenland (AT);AT11;Proportion of population aged 55-59 years;Percentage;2020;8.5
Burgenland (AT);AT11;Proportion of population aged 5-9 years;Percentage;2016;4.5
Burgenland (AT);AT11;Proportion of population aged 5-9 years;Percentage;2020;4.4
Burgenland (AT);AT11;Proportion of population aged 60-64 years;Percentage;2016;6.8
Burgenland (AT);AT11;Proportion of population aged 60-64 years;Percentage;2020;7.7
Burgenland (AT);AT11;Proportion of population aged 60-79 years;Percentage;2016;21.7
Burgenland (AT);AT11;Proportion of population aged 60-79 years;Percentage;2020;23.5
Burgenland (AT);AT11;Proportion of population aged 60 years and more;Percentage;2016;27.7
Burgenland (AT);AT11;Proportion of population aged 60 years and more;Percentage;2020;29.9
Burgenland (AT);AT11;Proportion of population aged 65-69 years;Percentage;2016;6.0
Burgenland (AT);AT11;Proportion of population aged 65-69 years;Percentage;2020;6.4
Burgenland (AT);AT11;Proportion of population aged 65-79 years;Percentage;2016;14.9
Burgenland (AT);AT11;Proportion of population aged 65-79 years;Percentage;2020;15.8
Burgenland (AT);AT11;Proportion of population aged 65 years and more;Percentage;2016;20.9
Burgenland (AT);AT11;Proportion of population aged 65 years and more;Percentage;2020;22.2
Burgenland (AT);AT11;Proportion of population aged 70-74 years;Percentage;2016;4.3
Burgenland (AT);AT11;Proportion of population aged 70-74 years;Percentage;2020;5.1
Burgenland (AT);AT11;Proportion of population aged 75-79 years;Percentage;2016;4.6
Burgenland (AT);AT11;Proportion of population aged 75-79 years;Percentage;2020;4.3
Burgenland (AT);AT11;Proportion of population aged 80-84 years;Percentage;2016;3.1
Burgenland (AT);AT11;Proportion of population aged 80-84 years;Percentage;2020;3.4
Burgenland (AT);AT11;Proportion of population aged 80 years and more;Percentage;2016;6.0
Burgenland (AT);AT11;Proportion of population aged 80 years and more;Percentage;2020;6.5
Burgenland (AT);AT11;Proportion of population aged 85 years and more;Percentage;2016;2.9
Burgenland (AT);AT11;Proportion of population aged 85 years and more;Percentage;2020;3.0
Burgenland (AT);AT11;Young-age dependency ratio 1st variant (population 0 to 14 years to population 15 to 64 years);Percentage;2016;20.0
Burgenland (AT);AT11;Young-age dependency ratio 1st variant (population 0 to 14 years to population 15 to 64 years);Percentage;2020;20.3
Burgenland (AT);AT11;Young-age dependency ratio 2nd variant (population 0 to 19 years to population 20 to 59 years);Percentage;2016;33.4
Burgenland (AT);AT11;Young-age dependency ratio 2nd variant (population 0 to 19 years to population 20 to 59 years);Percentage;2020;34.0
Burgenland (AT);AT11;Young-age dependency ratio 3rd variant (population 0 to 19 years to population 20 to 64 years);Percentage;2016;29.7
Burgenland (AT);AT11;Young-age dependency ratio 3rd variant (population 0 to 19 years to population 20 to 64 years);Percentage;2020;29.6
Wien;AT13;Age dependency ratio, 1st variant (population 0 to 14 years and 65 years or over to population 15 to 64 years);Percentage;2016;45.0
Wien;AT13;Age dependency ratio, 1st variant (population 0 to 14 years and 65 years or over to population 15 to 64 years);Percentage;2020;45.1
Wien;AT13;Age dependency ratio, 2nd variant (population 0 to 19 years and 60 years or over to population 20 to 59 years);Percentage;2016;68.8
Wien;AT13;Age dependency ratio, 2nd variant (population 0 to 19 years and 60 years or over to population 20 to 59 years);Percentage;2020;70.0
