NUTS level;NUTS value;country;name;latitude;longitude
0;AT;AT;Graz;47.0708678;15.4382786
1;AT2;AT;Graz;47.0708678;15.4382786
2;AT22;AT;Graz;47.0708678;15.4382786
3;AT221;AT;Graz;47.0708678;15.4382786
0;AT;AT;Innsbruck;47.2654296;11.3927685
1;AT3;AT;Innsbruck;47.2654296;11.3927685
2;AT33;AT;Innsbruck;47.2654296;11.3927685
3;AT332;AT;Innsbruck;47.2654296;11.3927685
0;AT;AT;Klagenfurt;46.623943;14.3075976
1;AT2;AT;Klagenfurt;46.623943;14.3075976
2;AT21;AT;Klagenfurt;46.623943;14.3075976
3;AT211;AT;Klagenfurt;46.623943;14.3075976
0;AT;AT;Linz;48.3059078;14.286198
1;AT3;AT;Linz;48.3059078;14.286198
2;AT31;AT;Linz;48.3059078;14.286198
3;AT312;AT;Linz;48.3059078;14.286198
0;AT;AT;Salzburg;47.7981346;13.0464806
1;AT3;AT;Salzburg;47.7981346;13.0464806
2;AT32;AT;Salzburg;47.7981346;13.0464806
3;AT323;AT;Salzburg;47.7981346;13.0464806
0;BE;BE;Brugge;51.2315785;3.1917093323369112
1;BE2;BE;Brugge;51.2315785;3.1917093323369112
2;BE25;BE;Brugge;51.2315785;3.1917093323369112
3;BE251;BE;Brugge;51.2315785;3.1917093323369112
0;BE;BE;Charleroi;50.4120332;4.4436244
1;BE3;BE;Charleroi;50.4120332;4.4436244
2;BE32;BE;Charleroi;50.4120332;4.4436244
3;BE32B;BE;Charleroi;50.4120332;4.4436244
0;BE;BE;Kortrijk;50.8276429;3.2659884
1;BE2;BE;Kortrijk;50.8276429;3.2659884
2;BE25;BE;Kortrijk;50.8276429;3.2659884
3;BE254;BE;Kortrijk;50.8276429;3.2659884
0;BE;BE;Leuven;50.879202;4.7011675
1;BE2;BE;Leuven;50.879202;4.7011675
2;BE24;BE;Leuven;50.879202;4.7011675
3;BE242;BE;Leuven;50.879202;4.7011675
0;BE;BE;Liège;50.6450944;5.5736112
1;BE3;BE;Liège;50.6450944;5.5736112
2;BE33;BE;Liège;50.6450944;5.5736112
3;BE332;BE;Liège;50.6450944;5.5736112
